إسحاق نيوتن,الجاذبية ليست مسؤولة عن وقوع الناس في الحب.,حكم و أقوال عن الناس 
محمد الغزالي,"الجهل بالحقيقه له دخل كبير في ضياعها، وأكثر الناس يترك الخطأ يسير لأنه لا يعرف الصواب.",حكم و أقوال عن الناس 
باتريك سوسكيند,"الجهل ليس عارا، بل إنه سعادة لأغلب الناس بيننا والحق إنه السعادة الوحيدة الممكنة في هذا العالم.",حكم و أقوال عن الناس 
ألبير كامو,الحاجة لكون المرء على حق علامة العقل الفظ.,حكم و أقوال عن الحياة 
خوسيه ساراماغو,"الحبّ الذي يقول الناس عنه أعمى ، له صوته الخاص.",حكم و أقوال عن الناس 
غازي عبد الرحمن القصيبي,الحب هو القوة السحرية التي تمكن الإنسان من التعامل مع قضايا الحياة دون الاستعانة بخدمات الموت .,حكم و أقوال عن الحياة 
أنطون تشيخوف,الحب والصداقة والاحترام لا توحد الناس مثلما تفعل كراهية شيء ما.,حكم و أقوال عن الناس 
أحمد خالد توفيق,الحرص على العدل و عدم التحيز قد يدفع الناس لأقسى أنواع الظلم,حكم و أقوال عن الناس 
فكتور هوجو,"الحرية هي الحياة ، و لكن لا حرية بلا فضيلة",حكم و أقوال عن الحياة 
إبراهيم الكوني,الحرية هي أن تتجرد من تلك الأشياء التي لا يرى فيها الناس أنفسهم,حكم و أقوال عن الناس 
بايرون,"الحزن هو المعرفة ، من يعرفون أكثر يُفجعون بشكلٍ أعمق ، شجرة المعرفة ليست شجرة الحياة.",حكم و أقوال عن الحياة 
إليزابيث جيلبرت,الحزن هو مكان يعيش الناس فيه لسنوات احيانا,حكم و أقوال عن الناس 
شهاب مصطفى محمود,الحس الفكاهي للشعوب يتناسب طرديا مع مدى الكبت و الظلم الذي يتعرض له الناس ..,حكم و أقوال عن الناس 
أندريه موروا,الحقيقة الخالصة بمثابة السم لبعض الناس.,حكم و أقوال عن الناس 
بهاء طاهر,الحقيقة أن هذه الحياة فخ .. فخ نتخبط فيه منذ أن نولد و الغلطة أننا نحاول الخروج من هذا الفخ,حكم و أقوال عن الحياة 
جمال عبد الناصر,الحلول الحقيقية لمشاكل الناس لا يمكن أن تكون بتكرار تجارب الآخرين .,حكم و أقوال عن الناس 
سيد قطب,الحياة (في ظلال القرآن) نعمة. نعمة لا يعرفها إلا من ذاقها. نعمة ترفع العمر وتباركه وتزكيه.,حكم و أقوال عن الحياة 
محمد متولي الشعراوي,الحياة الدنيا مهما طالت فهي قصيرة ومهما أعطت فهو قليل.,حكم و أقوال عن الحياة 
نور البواردي,الحياة المتعبة سأتركها اليوم في البيت وأخرج وحدي..,حكم و أقوال عن الحياة 
غوستاف لوبون,الحياة الواعية للروح البشرية لا تشكل إلا جزءا ضعيفا جدا بالقياس الى حياتها اللاوعية,حكم و أقوال عن الحياة 
هيلين كيلر,الحياة إما مغامرة جريئة أو لا شي .,حكم و أقوال عن الحياة 
هيلين كيلر,الحياة إما مغامرة عظيمة أو لا شيء.,حكم و أقوال عن الحياة 
أحلام مستغانمي,"الحياة أجمل من أن تعلني الحرب عليها، حاربي أعداءها.",حكم و أقوال عن الحياة 
فاتحة مرشيد,الحياة أكبر من الطب يا عزيزي,حكم و أقوال عن الحياة 
واسيني الأعرج,الحياة بدون خيبات ستكون مسطحة وبلا معنى,حكم و أقوال عن الحياة 
سلمى مهدي,الحياة بكل ما فيها تقف دائمًا على حد الوسطية بين اتزان المعنى وضده من حب وكره وحق وباطل وعدل وظلم,حكم و أقوال عن الحياة 
غوته,الحياة بلا فائدة موت مسبق,حكم و أقوال عن الحياة 
آرثر شوبنهاور,الحياة تتأرجح كالبندول بين الألم والملل.,حكم و أقوال عن الحياة 
أوشو,"الحياة تتعدىّ المنطق. إنها تناقض، إنها سٍرّ.",حكم و أقوال عن الحياة 
باولو كويلو,"الحياة تسير بسرعة كبيرة: تنقلنا من الجنة إلى الجحيم، في غضون ثوانٍ",حكم و أقوال عن الحياة 
زيج زيجلار,"الحياة تصبح أسهل ، عندما تطرد منها الأشخاص الذين يصعبونها.",حكم و أقوال عن الحياة 
محمود درويش,"الحياة تعلمك الحب ، التجارب تعلمك من تحب ، المواقف تعلمك من يحبك.",حكم و أقوال عن الحياة 
باولو كويلو,الحياة تفرق احيانا بين الناس ليدركوا كم يعني بعضهم لبعض.,حكم و أقوال عن الناس 
فريدريك نيتشه,الحياة جدل بين الذوق والتذوق,حكم و أقوال عن الحياة 
الطاهر بن جلون,"الحياة جميلة و إن كان كثير من الحمقى يستعجلون رميها بالشقاء ، ونَشرَهُ في حناياها",حكم و أقوال عن الحياة 
فرانز كافكا,"الحياة حرب , حربٌ مع نفسك حرب مع ظروفك ، وحرب مع الحمقى الذين خلقوا هذه الظروف.",حكم و أقوال عن الحياة 
مثل فارسي,الحياة حلم يوقظنا منه الموت,حكم و أقوال عن الحياة 
خالد خليفة,الحياة دوماً تمنحك فرصاً رائعة للسخرية من أعدائك إن استطعت الخروج حياً من بين أيديهم,حكم و أقوال عن الحياة 
رسول حمزاتوف,"الحياة دون حب أبسط و اهدأ . لعلها ابسط واهدأ ، إلا أنني لا أذكر يوما كهذا في حياتي !",حكم و أقوال عن الحياة 
محمد الشواف,"الحياة رواية جميلة عليك قراءتها حتى النهاية, لاتتوقف أبدا عند سطر حزين, قد تكون النهاية جميلة",حكم و أقوال عن الحياة 
محمد الشواف,"الحياة رواية جميلة عليك قراءتها حتى النهاية, لاتتوقف أبدا عند سطر حزين, قد تكون النهاية جميلة.",حكم و أقوال عن الحياة 
مثل بلغاري,الحياة سلم: البعض يصعد درجاته والآخر ينزلها.,حكم و أقوال عن الحياة 
مصطفى محمود,الحياة شخصية و جمال,حكم و أقوال عن الحياة 
هيلين كيلر,الحياة عبارة عن سلسلة من الدروس التي يجب أن تعاش لكي تفهم.,حكم و أقوال عن الحياة 
سومرست موم,الحياة عندي بدأت في الثمانين. معها شعرت بأنني لا أزال ذلك الشاب الذي خرج إلى نفسه في موج البحر.,حكم و أقوال عن الحياة 
محمد حامد,الحياة فكرة و تكبر !,حكم و أقوال عن الحياة 
سارة درويش,الحياة في المدينة الفاضلة لا تخلو من الملل,حكم و أقوال عن الحياة 
علاء الأسواني,الحياة في أمريكا مثل الفاكهة الأمريكية .. مغرية و براقة من الخارجلكنها بلا طعم … دكتور كرم دوس,حكم و أقوال عن الحياة 
نجيب محفوظ,الحياة فيض من الذكريات تصب في بحر النسيان . أما الموت فهو الحقيقة الراسخة,حكم و أقوال عن الحياة 
شارلي شابلن,الحياة قد تصبح رائعة إذا تركك الناس و شأنك.,حكم و أقوال عن الناس 
جوستاين غاردر,الحياة قصيرة بالنسبة للذين يدركون حقاً أن العالم سوف ينتهي يوماً لا محالة,حكم و أقوال عن الحياة 
عبد الله المغلوث,الحياة قصيرة و لا تستحق أن نهدرها في مكان أو مع أشخاص لا يمنحونا المناخ الذي يحفزنا للإبداع,حكم و أقوال عن الحياة 
مثل بلغاري,"الحياة كالقمر: تارة ملآنة، وطورا فارغة.",حكم و أقوال عن الحياة 
مجهول,"الحياة كالمرآة ، تحصل على أفضل النتائج حين تبتسم لها ,",حكم و أقوال عن الحياة 
أنايس نين,الحياة كلمة لبنانية و التجارة كلمة سورية و اللامبالاة كلمة مصرية,حكم و أقوال عن الحياة 
مايك تايسون,"‏الحياة لا تعني امتلاك كل شيء ، بل تعني خسارة كل شيء تدريجياً.",حكم و أقوال عن الحياة 
تشي جيفارا,الحياة لا تمنحُ الفرص إلا للراغبين.,حكم و أقوال عن الحياة 
غازي عبد الرحمن القصيبي,الحياة لا تهم. الحياة ظل زائل. مايهم هو أن يبقى المرء في ذاكرة التاريخ ما بقي التاريخ.,حكم و أقوال عن الحياة 
نور عبدالمجيد,الحياة لا شيء سوى الحب .. و الحب لا يولد إلا من الصفح و الغفران .. اغفر و انس,حكم و أقوال عن الحياة 
مصطفى السباعي,الحياة لولا الايمان لغز لا يفهم معناه,حكم و أقوال عن الحياة 
أثير عبد الله النشمي,"الحياة هي أنثى خائنة في كل يوم لها عشيق جديد .. أنثى مزاجية الهوى ، أنثى لا تؤتمن بالسعادة قط !",حكم و أقوال عن الحياة 
مثل كردي,"الحياة وردة، تنشقها واعطها لصديقك",حكم و أقوال عن الحياة 
نجيب محفوظ,الخوف لا يمنع من الموت و لكنه يمنع من الحياة.,حكم و أقوال عن الحياة 
أحلام مستغانمي,الخوف من الموت .. موتُ قد يمتدّ مدى الحياة,حكم و أقوال عن الحياة 
سقراط,الخوف يجعل الناس أكثر حذرا وأكثر طاعة وأكثر عبودية.,حكم و أقوال عن الناس 
دان براون,الخوف يقرّب الناس من الله,حكم و أقوال عن الناس 
ألبرت أينشتاين,"الخيال أهم من المعرفة ، فهو رؤية مسبقة لجاذبيات الحياة المستقبيلة",حكم و أقوال عن الحياة 
فينسنت فان غوخ,الدرس الوحيد الواجب أن نتعلمه في هذه الحياة هو أن نعاني دون شكوى.,حكم و أقوال عن الحياة 
إريك هوفر,"الدعاية السياسية لا تخدع الناس ، لكنها تساعدهم على خداع أنفسهم",حكم و أقوال عن الناس 
علي بن أبي طالب,"الدنيا دار ممر لا دار مقر، والناس فيها رجلان: رجل باع فيها نفسه فأوبقها، ورجل ابتاع نفسه فأعتقها.",حكم و أقوال عن الناس 
المعري,الدهر كالدهر والأيام واحدة … والناس كالناس والدنيا لمن غلبا,حكم و أقوال عن الناس 
نيكولو مكيافيلي,الدين ضروري للحكومات لا من أجل الفضيلة ولكن لغرض السيطرة على الناس.,حكم و أقوال عن الناس 
محمد المنسي قنديل,الدين لا يحدث فرقا بين الناس …الغباء هو الفارق,حكم و أقوال عن الناس 
أنايس نين,الذكاء كالملابس الداخلية: موجودة عند كل الناس ولكن يجب ألا نكشف عنها.,حكم و أقوال عن الناس 
محمد علي كلاي,الذي  لا يملك  الشجاع الكافية لتحمل المخاطر لن يحقق أي إنجاز في الحياة.,حكم و أقوال عن الحياة 
أفلاطون,الذي يُعلم الناس الخير ولا يعمله بمنزلة من بيده سراجٌ يضىء لغيره.,حكم و أقوال عن الناس 
طه حسين,الذين لا يعملون يؤذي نفوسهم أن يعمل الناس,حكم و أقوال عن الناس 
يامن النوباني,الذين نحبهم لا يموتون وان سار الناس جميعا بجنازات حقيقيه لهم .. هم فقط يصمتون للأبد,حكم و أقوال عن الناس 
محمد المنسي قنديل,"الذين يسافرون بلا متاعهم أقل الناس رغبة فى العودةلا يتمسكون بشيء، و لا ينظرون خلفهم",حكم و أقوال عن الناس 
سلمان العودة,الذين يكتشفون الطريق يعرفون أنه لا بد من مرور بعض الوقت قبل أن يتقبل الناس إرشادهم.,حكم و أقوال عن الناس 
واسيني الأعرج,"الرائحةُ كالهم ، إذا عمّت خفت،، بعدها يألفها الناس ، ثم سرعان ما تتلاشى نهائياً",حكم و أقوال عن الناس 
فرناندو بيسوا,الرذيلة الوحيدة السوداء هي أن تفعل ما يفعله جميع الناس.,حكم و أقوال عن الناس 
أبو العتاهية,الرفق يبلغ ما لا يبلغ الخرق***وقل في الناس من تصفو له خلق,حكم و أقوال عن الناس 
كونفوشيوس,الرفيع دقيق مع نفسه والوضيع دقيق مع الآخرين.,حكم و أقوال عن الوضيع 
هديل الحضيف,الزمن لا يمر الزمن يدوم مايمر هم الناس,حكم و أقوال عن الناس 
أنايس نين,السبب فى زيادة عدد السكان فى مصر : إن الناس يولدون أسرع من أن تدوسهم السيارات فى الشوارع,حكم و أقوال عن الناس 
روبرت فروست,السبب في أن القلق يقتل من الناس أكثر مما يقتل العمل هو أن الناس تقلق أكثر مما تعمل.,حكم و أقوال عن الناس 
ابن رشد,السبب في ورود الظاهر والباطن في الشرع هو اختلاف فطر الناس وتباين قرائحهم في التصديق.,حكم و أقوال عن الناس 
مصطفى لطفي المنفلوطي,"السرور نهار الحياة ، والحزن ليلها ، ولا يلبث النهار الساطع أن يعقبه الليل القاتم.",حكم و أقوال عن الحياة 
مارك توين,السرير هو المكان الأكثر خطورة في العالم : 99 ٪ من الناس يموتون هناك.,حكم و أقوال عن الناس 
أوسكار وايلد,السطحيون وحدهم هم من يحكمون على الناس من مظهرهم الخارجي.,حكم و أقوال عن الناس 
نورمان فنسنت بيل,"السعادة في الحياة ليست بخوض جميع معاركها ، فالانسحاب البارع هو في الحقيقة نصر مؤزر.",حكم و أقوال عن الحياة 
جورج أورويل,السعادة ممكنة فقط عندما لا يفترض الناس أن الهدف من الحياة هو السعادة.,حكم و أقوال عن الناس 
طه حسين,السعادة هي ذلك الاحساس الغريب الذي يراودنا حينما تشغلنا ظروف الحياة عن أن نكون أشقياء.,حكم و أقوال عن الحياة 
جلال الدين الرومي,"السلام عَلى الضاحكين وفي قلوبهم سنيِن بُكاء، أولئك الذين قرروا العيش ولَم تُحالفهم الحياة بعد.",حكم و أقوال عن الحياة 
ميخائيل نعيمة,السلام لا يولد في المؤتمرات الدولية بل في قلوب الناس و أفكارهم,حكم و أقوال عن الناس 
حاتم الأصم,"السلامة من الناس أن يكون شيوك لهم مبذولا، وأن تكون من شييهم ايسا",حكم و أقوال عن الناس 
غازي عبد الرحمن القصيبي,السلطه العامه يجب ان تكون في خدمة الناس بدلاً من أن تُوظف الناس لخدمتها,حكم و أقوال عن الناس 
مارك زوكربيرج,السنجاب الذي يموت أمام منزلك قد يكون أكثر أهمية في نظرك من الناس الذين يموتون الآن في أفريقيا.,حكم و أقوال عن الناس 
أدولف هتلر,السواد الأعظم من الناس يسقطون بسهولة أكبر ضحايا لكذبة كبيرة وليس لكذبة صغيرة.,حكم و أقوال عن الناس 
ألبير كامو,"السؤال العظيم للحياة، كيف نعيش وسط الناس ؟",حكم و أقوال عن الناس 
مارك زوكربيرج,"السؤال ليس هو ، ماذا نريد أن نعرف عن الناس ؟  ، انه ،  ماذا يريد الناس  أن يقولو عن أنفسهم ؟",حكم و أقوال عن الناس 
بول فاليري,السياسة فن منع الناس من التدخل فيما يخصهم.,حكم و أقوال عن الناس 
توفيق الحكيم,السياسة و الدين مصدر قوة .. في إساءة إستخدامهما خطر علي الحياة العقلية …,حكم و أقوال عن الحياة 
صلاح جاهين,"الشارع لنا، إحنا لوحدنا و الناس التانيين دول مش مننا، دول ناس أنانيين في مكانهم واقفين دول مش مننا",حكم و أقوال عن الناس 
توماس كارليل,"الشجاعة التي نريدها و نكافئ عليها ليست شجاعة الموت بطريقة مشرفة ، بل شجاعة الحياة برجولة",حكم و أقوال عن الحياة 
